,Customer Type,Type of Travel,satisfaction,Gender,Class,Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
0,Loyal Customer,Business travel,satisfied,Female,Eco,52.0,160.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,5.0,5.0,2.0,5.0,5.0,50.0,44.0
1,Loyal Customer,Business travel,satisfied,Female,Business,36.0,2863.0,1.0,1.0,3.0,1.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,0.0,0.0
2,disloyal Customer,Business travel,neutral or dissatisfied,Male,Eco,20.0,192.0,2.0,0.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0
3,Loyal Customer,Business travel,satisfied,Male,Business,44.0,3377.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,4.0,0.0,6.0
4,Loyal Customer,Business travel,satisfied,Female,Eco,49.0,1182.0,2.0,3.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,0.0,20.0
5,Loyal Customer,Business travel,satisfied,Male,Eco,16.0,311.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,5.0,3.0,1.0,1.0,2.0,5.0,0.0,0.0
6,Loyal Customer,Business travel,satisfied,Female,Business,77.0,3987.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,0.0,0.0
7,Loyal Customer,Business travel,satisfied,Female,Business,43.0,2556.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,77.0,65.0
8,Loyal Customer,Business travel,satisfied,Male,Eco,47.0,556.0,5.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,3.0,5.0,1.0,0.0
9,Loyal Customer,Business travel,satisfied,Female,Business,46.0,1744.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,28.0,14.0
10,Loyal Customer,Business travel,satisfied,Female,Eco,47.0,1235.0,4.0,1.0,1.0,1.0,5.0,1.0,5.0,3.0,4.0,3.0,1.0,3.0,4.0,29.0,19.0
11,Loyal Customer,Business travel,neutral or dissatisfied,Female,Business,33.0,325.0,2.0,5.0,5.0,5.0,1.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0,18.0,7.0
12,Loyal Customer,Business travel,satisfied,Female,Business,46.0,1009.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,0.0,0.0
13,Loyal Customer,Business travel,satisfied,Female,Business,60.0,451.0,1.0,1.0,4.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,117.0,113.0
14,Loyal Customer,Business travel,satisfied,Female,Business,52.0,925.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,10.0,0.0
15,Loyal Customer,Personal Travel,neutral or dissatisfied,Male,Eco,50.0,83.0,3.0,4.0,0.0,3.0,2.0,0.0,2.0,2.0,2.0,4.0,4.0,5.0,2.0,5.0,2.0
16,Loyal Customer,Business travel,neutral or dissatisfied,Female,Eco,31.0,728.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,0.0
17,Loyal Customer,Personal Travel,satisfied,Male,Eco Plus,52.0,1075.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,0.0,0.0
18,Loyal Customer,Personal Travel,neutral or dissatisfied,Female,Eco,43.0,1927.0,3.0,4.0,3.0,1.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,3.0,0.0,0.0
19,Loyal Customer,Business travel,satisfied,Female,Business,50.0,3799.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,8.0,0.0
20,Loyal Customer,Business travel,satisfied,Male,Business,60.0,612.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,21.0,49.0
21,Loyal Customer,Personal Travel,neutral or dissatisfied,Male,Eco,43.0,1437.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,5.0,2.0,0.0,0.0
22,Loyal Customer,Personal Travel,neutral or dissatisfied,Male,Eco,55.0,302.0,1.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,0.0,0.0
23,Loyal Customer,Business travel,satisfied,Male,Business,25.0,1428.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,1.0,5.0,4.0,0.0,0.0
24,disloyal Customer,Business travel,neutral or dissatisfied,Female,Eco,30.0,528.0,4.0,3.0,5.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,0.0,0.0
25,Loyal Customer,Personal Travel,neutral or dissatisfied,Male,Eco,62.0,710.0,3.0,5.0,3.0,4.0,2.0,3.0,2.0,2.0,5.0,5.0,4.0,4.0,2.0,0.0,0.0
26,Loyal Customer,Business travel,satisfied,Male,Business,24.0,3680.0,4.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,2.0,0.0,0.0
27,Loyal Customer,Business travel,satisfied,Female,Eco,22.0,1521.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,5.0,4.0,3.0,13.0
28,Loyal Customer,Business travel,satisfied,Male,Business,44.0,1543.0,3.0,5.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
